Roman,Bengali,Gujarati,Kannada,Oriya,Gurmukhi
a,অ,અ,ಅ,ଅ,ਅ
A,আ,આ,ಆ,ଆ,ਆ
i,ই,ઇ,ಇ,ଇ,ਇ
I,ঈ,ઈ,ಈ,ଈ,ਈ
u,উ,ઉ,ಉ,ଉ,ਉ
U,ঊ,ઊ,ಊ,ଊ,ਊ
f,ঋ,ઋ,ಋ,ଋ,ऋ
F,ৠ,ૠ,ೠ,ୠ,ॠ
x,ঌ,ઌ,ಌ,ଌ,ऌ
X,ৡ,ૡ,ೡ,ୡ,ॡ
e,এ,એ,ಏ,ଏ,ਏ
Z,ষ়্,ળ઼્,ೞ್,ଳ଼୍,ਲ਼਼੍
E,ঐ,ઐ,ಐ,ଐ,ਐ
o,ও,ઓ,ಓ,ଓ,ਓ
$,,,,,
O,ঔ,ઔ,ಔ,ଔ,ਔ
k,ক,ક,ಕ,କ,ਕ
K,খ,ખ,ಖ,ଖ,ਖ
g,গ,ગ,ಗ,ଗ,ਗ
G,ঘ,ઘ,ಘ,ଘ,ਘ
N,ঙ,ઙ,ಙ,ଙ,ਙ
c,চ,ચ,ಚ,ଚ,ਚ
C,ছ,છ,ಛ,ଛ,ਛ
j,জ,જ,ಜ,ଜ,ਜ
J,ঝ,ઝ,ಝ,ଝ,ਝ
Y,ঞ,ઞ,ಞ,ଞ,ਞ
w,ট,ટ,ಟ,ଟ,ਟ
W,ঠ,ઠ,ಠ,ଠ,ਠ
q,ড,ડ,ಡ,ଡ,ਡ
Q,ঢ,ઢ,ಢ,ଢ,ਢ
R,ণ,ણ,ಣ,ଣ,ਣ
t,ত,ત,ತ,ତ,ਤ
T,থ,થ,ಥ,ଥ,ਥ
d,দ,દ,ದ,ଦ,ਦ
D,ধ,ધ,ಧ,ଧ,ਧ
n,ন,ન,ನ,ନ,ਨ
p,প,પ,ಪ,ପ,ਪ
P,ফ,ફ,ಫ,ଫ,ਫ
b,ব,બ,ಬ,ବ,ਬ
B,ভ,ભ,ಭ,ଭ,ਭ
m,ম,મ,ಮ,ମ,ਮ
y,য,ય,ಯ,ଯ,ਯ
r,র,ર,ರ,ର,ਰ
l,ল,લ,ಲ,ଲ,ਲ
v,ব,વ,ವ,ଵ,ਵ
S,শ,શ,ಶ,ଶ,ਸ਼
z,ষ,ષ,ಷ,ଷ,ष
s,স,સ,ಸ,ସ,ਸ
h,হ,હ,ಹ,ହ,ਹ
L,ল়,ળ,ಳ,ଳ,ਲ਼
H,ঃ,ઃ,ಃ,ଃ,ਃ
M,ং,ં,ಂ,ଂ,ਂ
M,ঁ,ઁ,ಁ,ଁ,ਁ
M,ఁ,ఁ,ఁ,ఁ,ఁ
',ঽ,ઽ,ಽ,ଽ,ऽ
#,,,,,
&,,,,,
